VARIABLES= "AXISX" "Rhoe" "RhoeExt" 
ZONE T="EHDBulkRelax t= 3.5000000521540642e+00" I= 67, F=POINT
   -5.1562500000000000e-01     6.4393198403393371e-23     0.0000000000000000e+00 
   -5.0000000000000000e-01     1.7077038820885112e-10     0.0000000000000000e+00 
   -4.8437500000000000e-01     1.5960613466058412e-10     5.7964907632118540e-21 
   -4.6875000000000000e-01     3.1160072454064878e-10     1.1395097469317922e-19 
   -4.5312500000000000e-01     4.2741053865552628e-10     2.0316990153944567e-18 
   -4.3750000000000000e-01     5.3101904726561769e-10     3.2854066024112208e-17 
   -4.2187500000000000e-01     6.3721861874162280e-10     4.8184494883351754e-16 
   -4.0625000000000000e-01     7.3729063397257828e-10     6.4093490745632764e-15 
   -3.9062500000000000e-01     8.5682151101288912e-10     7.7323048807548262e-14 
   -3.7500000000000000e-01     9.9276301970169634e-10     8.4604301388655486e-13 
   -3.5937500000000000e-01     1.0834626553205592e-09     8.3958437440785351e-12 
   -3.4375000000000000e-01     1.1909836372612414e-09     7.5565694911611428e-11 
   -3.2812500000000000e-01     1.7923335916297528e-09     6.1684129947758645e-10 
   -3.1250000000000000e-01     5.8222303737816450e-09     4.5667857361886464e-09 
   -2.9687500000000000e-01     3.2208869207111648e-08     3.0664526150910697e-08 
   -2.8125000000000000e-01     1.9004700266763551e-07     1.8674557069417497e-07 
   -2.6562500000000000e-01     1.0440798463629306e-06     1.0314609513121294e-06 
   -2.5000000000000000e-01     5.2248054171614174e-06     5.1670623519924121e-06 
   -2.3437500000000000e-01     2.3733257666139725e-05     2.3475942816636450e-05 
   -2.1875000000000000e-01     9.7792798360319587e-05     9.6736598688119239e-05 
   -2.0312500000000000e-01     3.6547633713025199e-04     3.6153222437595848e-04 
   -1.8750000000000000e-01     1.2388049780383845e-03     1.2254388449029179e-03 
   -1.7187500000000000e-01     3.8083400182117181e-03     3.7672522594839361e-03 
   -1.5625000000000000e-01     1.0618351878745476e-02     1.0503793880923620e-02 
   -1.4062500000000000e-01     2.6851404176360630e-02     2.6561714806135200e-02 
   -1.2500000000000000e-01     6.1583637900928384e-02     6.0919237310621550e-02 
   -1.0937500000000000e-01     1.2810088044794934e-01     1.2671885357943694e-01 
   -9.3750000000000000e-02     2.4167254793226134e-01     2.3906524448900809e-01 
   -7.8125000000000000e-02     4.1351470417613179e-01     4.0905346857024577e-01 
   -6.2500000000000000e-02     6.4171623022734003e-01     6.3479302516010705e-01 
   -4.6875000000000000e-02     9.0319914889364961e-01     8.9345491554592293e-01 
   -3.1250000000000000e-02     1.1529552348274443e+00     1.1405164889933090e+00 
   -1.5625000000000000e-02     1.3348418094470815e+00     1.3204407664914461e+00 
    0.0000000000000000e+00     1.4016371059026693e+00     1.3865154368839379e+00 
    1.5625000000000000e-02     1.3348418092068906e+00     1.3204407664914461e+00 
    3.1250000000000000e-02     1.1529552343492304e+00     1.1405164889933090e+00 
    4.6875000000000000e-02     9.0319914818562430e-01     8.9345491554592293e-01 
    6.2500000000000000e-02     6.4171622930111749e-01     6.3479302516010705e-01 
    7.8125000000000000e-02     4.1351470303713567e-01     4.0905346857024577e-01 
    9.3750000000000000e-02     2.4167254657888046e-01     2.3906524448900809e-01 
    1.0937500000000000e-01     1.2810087888914673e-01     1.2671885357943694e-01 
    1.2500000000000000e-01     6.1583636169836531e-02     6.0919237310621550e-02 
    1.4062500000000000e-01     2.6851402307995782e-02     2.6561714806135200e-02 
    1.5625000000000000e-01     1.0618349872548814e-02     1.0503793880923620e-02 
    1.7187500000000000e-01     3.8083378535519186e-03     3.7672522594839361e-03 
    1.8750000000000000e-01     1.2388026835946321e-03     1.2254388449029179e-03 
    2.0312500000000000e-01     3.6547399810838186e-04     3.6153222437595848e-04 
    2.1875000000000000e-01     9.7790449998606788e-05     9.6736598688119239e-05 
    2.3437500000000000e-01     2.3730835787155655e-05     2.3475942816636450e-05 
    2.5000000000000000e-01     5.2222893282906536e-06     5.1670623519924121e-06 
    2.6562500000000000e-01     1.0415991737540090e-06     1.0314609513121294e-06 
    2.8125000000000000e-01     1.8770286228152784e-07     1.8674557069417497e-07 
    2.9687500000000000e-01     2.9903351490025027e-08     3.0664526150910697e-08 
    3.1250000000000000e-01     3.4716102594684174e-09     4.5667857361886464e-09 
    3.2812500000000000e-01    -4.5296033503152633e-10     6.1684129947758645e-10 
    3.4375000000000000e-01    -8.1167218129799263e-10     7.5565694911611428e-11 
    3.5937500000000000e-01    -7.8251712074233131e-10     8.3958437440785351e-12 
    3.7500000000000000e-01    -8.1765873092802859e-10     8.4604301388655486e-13 
    3.9062500000000000e-01    -7.7914636811566013e-10     7.7323048807548262e-14 
    4.0625000000000000e-01    -6.5396389181839615e-10     6.4093490745632764e-15 
    4.2187500000000000e-01    -5.4896324221976512e-10     4.8184494883351754e-16 
    4.3750000000000000e-01    -4.3936430794728481e-10     3.2854066024112208e-17 
    4.5312500000000000e-01    -3.1853128139809467e-10     2.0316990153944567e-18 
    4.6875000000000000e-01    -2.3355100380458713e-10     1.1395097469317922e-19 
    4.8437500000000000e-01    -1.6334062332530972e-10     5.7964907632118540e-21 
    5.0000000000000000e-01    -1.6821312003581932e-10     0.0000000000000000e+00 
    5.1562500000000000e-01     6.4393198403393371e-23     0.0000000000000000e+00 
